id,dwelling,hhSize,autos
1,1,2,0
2,2,1,2
3,3,3,1
4,4,2,0
5,5,3,2
6,6,3,1
7,7,1,0
8,8,2,1
9,9,2,2
10,10,3,0
11,11,2,1
12,12,2,0
13,13,2,1
14,14,1,2
15,15,1,0
16,16,1,1
17,17,1,1
18,18,1,0
19,19,1,1
20,20,2,1
21,21,1,1
22,22,3,2
23,23,1,2
24,24,2,0
25,25,2,0
26,26,3,0
27,27,2,2
28,28,3,1
29,29,2,2
30,30,3,2
31,31,3,0
32,32,3,2
33,33,2,0
34,34,1,2
35,35,1,1
36,36,1,0
37,37,1,0
38,38,3,1
39,39,1,0
40,40,3,2
41,41,1,2
42,42,2,0
43,43,3,2
44,44,3,0
45,45,1,1
46,46,1,0
47,47,2,2
48,48,1,2
49,49,3,0
50,50,1,0
51,51,2,2
52,52,1,2
53,53,1,1
54,54,1,1
55,55,2,0
56,56,1,2
57,57,3,0
58,58,3,0
59,59,3,0
60,60,2,1
61,61,3,0
62,62,3,0
63,63,3,0
64,64,1,0
65,65,2,0
66,66,1,1
67,67,2,0
68,68,1,1
69,69,1,1
70,70,1,1
71,71,2,0
72,72,1,1
73,73,1,1
74,74,3,1
75,75,2,2
76,76,1,0
77,77,1,0
78,78,2,1
79,79,1,2
80,80,2,0
81,81,2,2
82,82,3,0
83,83,3,1
84,84,2,0
85,85,1,1
86,86,3,0
87,87,3,2
88,88,2,0
89,89,1,2
90,90,1,1
91,91,2,1
92,92,3,0
93,93,2,0
94,94,3,2
95,95,1,1
96,96,3,1
97,97,1,1
98,98,3,2
99,99,3,2
100,100,3,2
101,101,2,2
102,102,1,1
103,103,2,1
104,104,3,0
105,105,2,2
106,106,2,0
107,107,3,2
108,108,1,1
109,109,3,2
110,110,3,2
111,111,2,0
112,112,2,2
113,113,3,2
114,114,1,2
115,115,1,1
116,116,3,1
117,117,1,2
118,118,3,1
119,119,2,1
120,120,2,2
121,121,3,2
122,122,1,1
123,123,1,2
124,124,1,1
125,125,2,0
126,126,1,2
127,127,1,2
128,128,3,1
129,129,3,0
130,130,1,0
131,131,2,2
132,132,3,0
133,133,1,0
134,134,1,2
135,135,1,0
136,136,1,0
137,137,2,0
138,138,2,2
139,139,1,1
140,140,1,1
141,141,1,1
142,142,1,1
143,143,1,0
144,144,1,1
145,145,2,1
146,146,2,2
147,147,3,2
148,148,1,0
149,149,1,0
150,150,1,2
151,151,3,0
152,152,1,1
153,153,2,1
154,154,2,0
155,155,2,2
156,156,3,0
157,157,2,2
158,158,3,0
159,159,1,2
160,160,3,2
161,161,2,1
162,162,3,2
163,163,3,2
164,164,3,2
165,165,1,0
166,166,1,0
167,167,3,2
168,168,1,1
169,169,1,0
170,170,3,1
171,171,1,0
172,172,1,1
173,173,3,2
174,174,1,0
175,175,1,2
176,176,1,1
177,177,2,1
178,178,3,2
179,179,1,0
180,180,3,1
181,181,1,0
182,182,1,0
183,183,3,0
184,184,2,1
185,185,1,1
186,186,3,1
187,187,2,1
188,188,3,2
189,189,2,2
190,190,3,2
191,191,3,0
192,192,1,0
193,193,1,2
194,194,1,0
195,195,1,2
196,196,1,0
197,197,3,0
198,198,1,0
199,199,1,1
200,200,1,2
201,201,1,0
202,202,2,2
203,203,2,2
204,204,3,1
205,205,3,1
206,206,2,2
207,207,3,0
208,208,2,1
209,209,3,0
210,210,1,2
211,211,1,1
212,212,1,1
213,213,3,0
214,214,3,0
215,215,3,2
216,216,1,1
217,217,3,0
218,218,1,0
219,219,1,2
220,220,1,2
221,221,1,0
222,222,3,2
223,223,3,0
224,224,3,1
225,225,3,0
226,226,3,0
227,227,3,1
228,228,1,0
229,229,1,1
230,230,3,0
231,231,1,1
232,232,1,1
233,233,2,1
234,234,1,2
235,235,3,0
236,236,2,0
237,237,3,0
238,238,2,1
239,239,1,1
240,240,3,0
241,241,2,0
242,242,3,1
243,243,2,1
244,244,1,1
245,245,1,0
246,246,3,0
247,247,1,2
248,248,1,0
249,249,3,0
250,250,1,0
251,251,1,1
252,252,3,1
253,253,1,2
254,254,3,0
255,255,2,1
256,256,1,1
257,257,1,0
258,258,1,1
259,259,2,2
260,260,2,1
261,261,1,1
262,262,2,1
263,263,1,0
264,264,1,1
265,265,2,1
266,266,1,2
267,267,3,2
268,268,1,0
269,269,1,0
270,270,1,0
271,271,3,0
272,272,3,1
273,273,2,2
274,274,1,0
275,275,3,2
276,276,3,0
277,277,1,1
278,278,1,2
279,279,3,1
280,280,1,2
281,281,3,0
282,282,1,0
283,283,1,2
284,284,2,2
285,285,1,2
286,286,1,1
287,287,1,0
288,288,2,0
289,289,2,0
290,290,3,2
291,291,1,0
292,292,3,1
293,293,1,0
294,294,2,2
295,295,3,1
296,296,1,2
297,297,3,2
298,298,3,0
299,299,2,2
300,300,1,1
301,301,2,0
302,302,1,2
303,303,3,1
304,304,2,0
305,305,3,2
306,306,3,1
307,307,1,0
308,308,2,1
309,309,2,2
310,310,3,0
311,311,2,0
312,312,1,2
313,313,3,1
314,314,2,0
315,315,3,2
316,316,3,1
317,317,1,0
318,318,2,1
319,319,2,2
320,320,3,0
321,321,2,0
322,322,1,2
323,323,3,1
324,324,2,0
325,325,3,2
326,326,3,1
327,327,1,0
328,328,2,1
329,329,2,2
330,330,3,0
331,331,2,0
332,332,1,2
333,333,3,1
334,334,2,0
335,335,3,2
336,336,3,1
337,337,1,0
338,338,2,1
339,339,2,2
340,340,3,0
341,341,2,0
342,342,1,2
343,343,3,1
344,344,2,0
345,345,3,2
346,346,3,1
347,347,1,0
348,348,2,1
349,349,2,2
350,350,3,0
351,351,2,0
352,352,1,2
353,353,3,1
